Faction;Upgrade;Rule;Subject;Amount;With;With Type;Cost
Orc Marauders;A;Replace;Pistol;;Carbine;W;5
Orc Marauders;A;;;;Twin Carbine;W;10
Orc Marauders;A;Replace;CCW;;CCW3;W;5
Orc Marauders;A;;;;Energy Sword;W;10
Orc Marauders;A;;;;Energy Fist;W;15
Orc Marauders;A;Attachement;Carbine;1;Heavy Flamethrower;W;15
Orc Marauders;A;;;;Rocket Launcher;W;15
Orc Marauders;B;Upgrade any;;;Attack Beast;W;5
Orc Marauders;B;;;;Cyborg Body;I;20
Orc Marauders;B;Upgrade;;1;Heavy Armor;I;5
Orc Marauders;B;;;;Power Armor;I;95
Orc Marauders;C;Replace;Pistol;;Custom Plasma Pistol;W;5
Orc Marauders;C;;;;Custom Plasma Rifle;W;10
Orc Marauders;C;;;;Rocket Launcher;W;10
Orc Marauders;C;;;;Teleport Pistol;W;10
Orc Marauders;C;;;;Energy Field;A;30
Orc Marauders;C;;;;Shock Gun;W;60
Orc Marauders;C;Replace;CCW;;Sawblade;W;15
Orc Marauders;C;Upgrade;;1;Precision Monocle;I;10
Orc Marauders;D;Upgrade;;1;WAR!(1);A;90
Orc Marauders;D;;;;WAR!(1);A;180
Orc Marauders;D;;;;WAR!(3);A;270
Orc Marauders;E;Upgrade;;1;Heavy Armor;I;5
Orc Marauders;E;Replace;Pistol;;Carbine;W;5
Orc Marauders;E;;;;Twin Carbine;W;10
Orc Marauders;E;Replace;CCW;;Energy Sword;W;5
Orc Marauders;E;;;;Energy Fist;W;10
Orc Marauders;E;Attachement;Carbine;;Heavy Flamethrower;W;15
Orc Marauders;E;;;;Rocket Launcher;W;15
Orc Marauders;F;Upgrade;;1;Psychic(2);A;10
Orc Marauders;H;Replace;Flamethrower;;Rocket Launcher;W;5
Orc Marauders;H;;;;Railgun;W;10
Orc Marauders;H;Replace;Rocket Launcher,CCW;;Bomb Hammer;W;10
Orc Marauders;H;Upgrade;;1;Bomb Beats;W;10
Orc Marauders;I;Replace;Pistol;;Flamethrower;W;5
Orc Marauders;I;;;;Rocket Launcher;W;10
Orc Marauders;I;;;;Heavy Machinegun;W;15
Orc Marauders;J;Upgrade;;1;Orc Herder;I;10
Orc Marauders;K;Replace;Carbine,Energy Fist;;2x Sawblades;W;25
Orc Marauders;K;Replace;Carbine;;Twin Carbine;W;5
Orc Marauders;K;Attachement;Carbine;1;Heavy Flamethrower;W;15
Orc Marauders;K;;;;Rocket Launcher;W;15
Orc Marauders;L;Replace;Custom Plasma Rifle;;Twin Rocket Launcher;W;15
Orc Marauders;L;;;;Twin Heavy Machinegun;W;20
Orc Marauders;L;Upgrade any;;;Sawblade L;W;5
Orc Marauders;L;;;;Assault Bombs;W;10
Orc Marauders;M;Replace;CCW;;Energy Sword;W;5
Orc Marauders;M;;;;Energy Fist;W;10
Orc Marauders;N;Replace;CCW;;Energy Sword;W;5
Orc Marauders;N;;;;Energy Fist;W;10
Orc Marauders;O;Upgrade;;1;Heavy Armor;I;5
Orc Marauders;O;Replace;Pistol;;Carbine;W;5
Orc Marauders;O;;;;Rocket Launcher;W;10
Orc Marauders;O;;;;Heavy Machinegun;W;15
Battl Brothers;A;Replace;Assault Rifle,CCW;;Pistol,CCW2;W,W;0
Battl Brothers;A;Replace;Pistol;;Gravity Pistol;W;5
